descriptor,reason,r
Mordred_n11FaHRing,constant,
Mordred_n11FaRing,constant,
Mordred_n11HRing,constant,
Mordred_n11Ring,constant,
Mordred_n11aHRing,constant,
Mordred_n11aRing,constant,
Mordred_n12AHRing,constant,
Mordred_n12ARing,constant,
Mordred_n12FAHRing,constant,
Mordred_n12FARing,constant,
Mordred_n12FHRing,constant,
Mordred_n12FRing,constant,
Mordred_n12FaHRing,constant,
Mordred_n12FaRing,constant,
Mordred_n12HRing,constant,
Mordred_n12Ring,constant,
Mordred_n12aHRing,constant,
Mordred_n12aRing,constant,
Mordred_n3AHRing,constant,
Mordred_n3ARing,constant,
Mordred_n3HRing,constant,
Mordred_n3Ring,constant,
Mordred_n3aHRing,constant,
Mordred_n3aRing,constant,
Mordred_n4AHRing,constant,
Mordred_n4ARing,constant,
Mordred_n4FAHRing,constant,
Mordred_n4FARing,constant,
Mordred_n4FHRing,constant,
Mordred_n4FRing,constant,
Mordred_n4FaHRing,constant,
