descriptor,reason,r
VR3_Dzpe,correlated_with_VR3_Dzse,0.9999997444275108
VE3_DzZ,correlated_with_VE3_Dzm,0.9999997268089257
VE1_Dzse,correlated_with_VE1_Dzpe,0.9999997227694685
VR1_Dzpe,correlated_with_VR1_Dzse,0.9999997122438977
VE3_Dzi,correlated_with_VE3_Dzpe,0.9999995955789529
VE2_Dzpe,correlated_with_VE2_Dzse,0.9999995402782876
VR1_Dzm,correlated_with_VR1_DzZ,0.9999994145393645
VR3_Dzm,correlated_with_VR3_DzZ,0.9999988166922096
LogEE_Dzm,correlated_with_LogEE_DzZ,0.9999986898313942
VE1_DzZ,correlated_with_VE1_Dzm,0.9999985005336458
VR2_Dzpe,correlated_with_VR2_Dzse,0.9999984955914666
SpDiam_Dzm,correlated_with_SpDiam_DzZ,0.9999984928637954
SpMax_Dzm,correlated_with_SpMax_DzZ,0.9999980718191863
VE1_Dzare,correlated_with_VE1_Dzpe,0.9999980416889888
VR3_Dzare,correlated_with_VR3_Dzse,0.9999979353835565
SpAbs_DzZ,correlated_with_SpAbs_Dzm,0.9999976794386551
SpAD_Dzm,correlated_with_SpAD_DzZ,0.9999972004285004
VE2_Dzi,correlated_with_VE2_Dzare,0.9999968736103577
VE1_Dzi,correlated_with_VE1_Dzpe,0.9999967796057833
VE2_Dzare,correlated_with_VE2_Dzse,0.9999963265533538
ATSC7Z,correlated_with_ATSC7m,0.9999963004316162
VR1_Dzare,correlated_with_VR1_Dzse,0.9999962122721953
VR3_Dzi,correlated_with_VR3_Dzse,0.9999961468839126
VE2_DzZ,correlated_with_VE2_Dzm,0.9999961084933755
ATS7pe,correlated_with_ATS7are,0.999995746305429
MWC01,correlated_with_fragCpx,0.9999957188112992
ATS6are,correlated_with_ATS6pe,0.999995050210253
VE3_Dzpe,correlated_with_VE3_D,0.9999949399815904
VR1_Dzi,correlated_with_VR1_Dzse,0.9999943385191518
NaaCH,correlated_with_SlogP_VSA6,0.9999934623658817
VR2_Dzm,correlated_with_VR2_DzZ,0.9999931741729265
VE3_Dzp,correlated_with_VE3_Dzv,0.9999915719727661
VE3_Dzv,correlated_with_VE3_D,0.9999881874034653
SpMAD_Dzm,correlated_with_SpMAD_DzZ,0.9999859856309304
VR2_Dzare,correlated_with_VR2_Dzse,0.9999848028897279
LogEE_Dzse,correlated_with_LogEE_Dzpe,0.99997940486939
ATS5are,correlated_with_ATS5pe,0.9999788346535304
SpMax_Dzse,correlated_with_SpMax_Dzpe,0.9999781494081559
VR3_D,correlated_with_VR3_Dzse,0.9999778890189636
SpAbs_D,correlated_with_LogEE_D,0.9999764671162448
AMW,correlated_with_Mm,0.9999744039082918
VR2_Dzi,correlated_with_VR2_Dzse,0.9999742459404135
SpAD_Dzse,correlated_with_SpAD_Dzpe,0.9999738811356825
SpMax_Dzi,correlated_with_SpAD_Dzi,0.9999731730216885
MATS4m,correlated_with_MATS4Z,0.9999728166528411
SpDiam_Dzse,correlated_with_SpDiam_Dzpe,0.9999714060116783
SpAbs_Dzse,correlated_with_SpAbs_Dzpe,0.9999684242692111
ATS7se,correlated_with_ATS7d,0.9999670374912791
SpMax_Dzpe,correlated_with_SpAD_Dzpe,0.999965798026234
Sm,correlated_with_MW,0.9999620312702796
