descriptor,reason,r
ATSC3m,correlated_with_ATSC3Z,0.9989373306505253
MWC10,correlated_with_MWC08,0.9988352773168667
ATS2are,correlated_with_ATS2se,0.9988282029243921
LogEE_A,correlated_with_VE3_Dzp,0.9988156827484461
ATSC5m,correlated_with_ATSC5Z,0.9988065533201467
AATS0Z,correlated_with_AATS0m,0.9987462842083675
ATS1Z,correlated_with_ATS1m,0.9987088074861232
NssO,correlated_with_SssO,0.9986795647353887
GATS2m,correlated_with_GATS2Z,0.9985992201054262
ATS1se,correlated_with_Sse,0.9985269962757389
ETA_eta_RL,correlated_with_nHeavyAtom,0.9985055957907356
Zagreb2,correlated_with_MPC2,0.9984916890071085
ATS1i,correlated_with_nBonds,0.9984896320884484
SpMAD_Dzare,correlated_with_SpMAD_Dzi,0.9984814773376357
SsOH,correlated_with_NsOH,0.9984653639161136
MW,correlated_with_SZ,0.9984025704038776
ATS0pe,correlated_with_ATS0se,0.9983861189769955
MPC2,correlated_with_Zagreb1,0.9983601849316782
MWC03,correlated_with_MWC02,0.9983251373136083
MID_C,correlated_with_nC,0.9982085617157818
LabuteASA,correlated_with_ETA_alpha,0.9981844031085031
BCUTm-1h,correlated_with_BCUTZ-1h,0.9981648989971892
VE3_Dzp,correlated_with_VE3_A,0.9980587170218719
TIC4,correlated_with_TIC3,0.9979837965688039
MID_N,correlated_with_nN,0.9979441062424835
AATS0pe,correlated_with_Mpe,0.997825164971269
ATS1d,correlated_with_ATS0d,0.9978156628176553
VR2_Dzv,correlated_with_VR2_Dzm,0.9978085078127101
ATS0i,correlated_with_Sse,0.9977813176692595
nHetero,correlated_with_MID_h,0.9977426795600732
MWC05,correlated_with_SRW08,0.9977114450286326
AATS7Z,correlated_with_AATS7m,0.9976966278774453
ATS5m,correlated_with_ATS5Z,0.9976698907520262
ATS2m,correlated_with_ATS2Z,0.997607944081871
ATSC7pe,correlated_with_ATSC7are,0.9975240105251825
ATS6Z,correlated_with_ATS6m,0.9974321988235783
BCUTi-1h,correlated_with_BCUTpe-1h,0.9974228867528596
Vabc,correlated_with_VMcGowan,0.9974143110958338
nBonds,correlated_with_Sse,0.9973859988324374
ATS7se,correlated_with_ATS7i,0.9973548133093527
ATS5i,correlated_with_ATS5se,0.9973311746976788
ATS4m,correlated_with_ATS4Z,0.9972764547200789
ATS8m,correlated_with_ATS8Z,0.9971548326052452
SRW10,correlated_with_SRW08,0.9971477762066696
SdsN,correlated_with_NdsN,0.9971447848555761
Sse,correlated_with_ATS2se,0.9971400984727061
ATS3m,correlated_with_ATS3Z,0.9970767323314297
nHeavyAtom,correlated_with_Xp-0d,0.9970417806284079
ATS0m,correlated_with_ATS0Z,0.9970257114451877
MATS7pe,correlated_with_MATS7are,0.9970103046384291
BCUTpe-1l,correlated_with_BCUTare-1l,0.9969963683138827
Zagreb1,correlated_with_TMWC10,0.996965341794203
nO,correlated_with_MID_O,0.9969578965236799
ATS1v,correlated_with_Sv,0.9969269765081217
AATS0are,correlated_with_Mare,0.9969074402393855
SpAD_DzZ,correlated_with_SpDiam_DzZ,0.9968802184163095
GATS1m,correlated_with_GATS1Z,0.9968578495703949
SRW08,correlated_with_SRW06,0.9968567277005177
SpAbs_Dzi,correlated_with_SpDiam_Dzi,0.9968527698496511
ATS2i,correlated_with_nBondsKS,0.9968155450554435
ATSC0m,correlated_with_ATSC0Z,0.9967465611712792
AATSC0m,correlated_with_AATSC0Z,0.9965776467614442
TMWC10,correlated_with_VR2_Dzm,0.9965443133674498
AATS7pe,correlated_with_AATS7are,0.9964013726998092
nAromBond,correlated_with_nAromAtom,0.9963464991020275
AATSC7are,correlated_with_AATSC7pe,0.996233937081865
ATS8se,correlated_with_ATS8i,0.9962138984869005
SpMax_Dzv,correlated_with_SpDiam_Dzv,0.9962000311033692
SpAbs_D,correlated_with_SpDiam_D,0.9961554491644518
ATS2d,correlated_with_ATS3d,0.9960762398058257
ATSC0are,correlated_with_ATSC0pe,0.9960665093180837
