ID,SMILES,CAS-ID,Exp_log (rat toxicity)
141,[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2[N+]([O-])=O)C(F)(F)F)C=C1,15457-05-3,1.56
142,[O-][N+](=O)C1=CC(=C(NC2=C(Cl)C=CC(=C2)C(F)(F)F)C(=C1)C(F)(F)F)[N+]([O-])=O,62441-54-7,3.66
143,CN(C1=C(Cl)C=C(Cl)C=C1)C2=C(C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F,84529-63-5,4.96
144,CN(C1=CC=C(Cl)C=C1Br)C2=C(C=C(C=C2C(F)(F)F)[N+]([O-])=O)[N+]([O-])=O,84529-59-9,5
145,CCO[P](=S)(OCC)OC1=CC(=C(Cl)C=C1)[N+]([O-])=O,84197-35-3,3.51
146,CO[P](=S)(OC)OC1=CC=C(C=C1Cl)[N+]([O-])=O,2463-84-5,3.02
147,C[P](=S)(OC1=CC=CC=C1)OC2=CC=C(C=C2)[N+]([O-])=O,2665-30-7,4.59
148,CCN(CC)[P]1(=S)OCC2=C(O1)C=CC(=C2)[N+]([O-])=O,99300-57-9,3.3
149,CN(C)[P]1(=S)OCC2=C(O1)C=CC(=C2)[N+]([O-])=O,99300-64-8,3.34
150,CCO[P](=S)(CC)OC1=CC=C(C=C1Cl)[N](=O)=O,3563-52-8,4.13
151,CCO[P](=S)(CC)OC1=CC=C(C(=C1)C)[N+]([O-])=O,18313-91-2,4.46
152,CCO[P](=S)(OCC)OC1=C(Cl)C=C(C=C1)[N+]([O-])=O,6012-87-9,4.51
153,CC[P](=S)(OC)OC1=CC=C(C=C1Cl)[N](=O)=O,2917-21-7,4.11
154,CCO[P](=S)(OCC)OC1=CC(=C(C=C1)[N+]([O-])=O)Cl,3070-19-7,3.81
155,CCCO[P](C)(=S)OC1=CC=C(C=C1)[N](=O)=O,1085-34-3,4.96
156,CO[P](=S)(OC(C)C)OC1=CC=C(C=C1)[N](=O)=O,13955-12-9,4.76
157,CO[P](=S)(OC(C)C)OC1=CC(=C(C=C1)[N+]([O-])=O)C,3305-08-6,4.09
158,CCO[P](=S)(OCC)OC1=CC(=C(C=C1)[N](=O)=O)C,2425-15-2,4.49
159,CCO[P](=S)(OCC)OC1=C(Cl)C=C(Cl)C(=C1)[N+]([O-])=O,84197-36-4,3.56
160,NC1=NC=C(\C=C\C2=CC=C(O2)[N+]([O-])=O)N=N1,556-12-7,2.97
161,CC1=NC(=C[N]1C2=CC=C(C=C2)[N+]([O-])=O)[N+]([O-])=O,21721-92-6,1.71
162,NC1=NN=C(S1)\C=C\C2=CC=C(O2)[N](=O)=O,1020-76-4,2.1
